
2024/01/17 (23:53:50) | INFO: Logger set to DEBUG
2024/01/17 (23:53:50) | DEBUG: Using locale en_US.UTF-8
2024/01/17 (23:53:50) | INFO: Running on /dev/pts/5
2024/01/17 (23:53:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/17 (23:53:51) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/17 (23:53:51) | DEBUG: Shared::init() : Initialized.

2024/01/18 (16:28:45) | ===> btop++ v.1.3.0
2024/01/18 (16:28:45) | INFO: Logger set to DEBUG
2024/01/18 (16:28:45) | DEBUG: Using locale en_US.UTF-8
2024/01/18 (16:28:45) | INFO: Running on /dev/pts/3
2024/01/18 (16:28:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
